北市区书香门第精装修5房出售 满五年 中间楼层,https://km.lianjia.com/ershoufang/106110241689.html,书香门第 红云,5室3厅,202.63,东 南 北,218.0,10759
北京路 霖雨桥地铁口 急售3房 板楼住宅,https://km.lianjia.com/ershoufang/106110236659.html,江东小康城 红云,3室2厅,105.15,南 北,135.0,12839
房东急售 急售 急售 证在手 满二 随时可以看房,https://km.lianjia.com/ershoufang/106110163042.html,昆明恒大雅苑 昙华寺,3室2厅,126.74,东南 南,143.0,11283
朝九晚五精装中间楼层，看房子方便,https://km.lianjia.com/ershoufang/106110080213.html,朝九晚五 昙华寺,3室2厅,101.26,东南,110.0,10864
霖雨桥地铁站   精装两房  急售急售急售,https://km.lianjia.com/ershoufang/106110115828.html,天骄北麓 红云,2室1厅,76.33,东,72.8,9538
南亚 万达 滇池路 精装修三室两厅端头房 位置好 急售,https://km.lianjia.com/ershoufang/106110150856.html,南华小区锦华苑 南亚,3室2厅,92.84,南 北,128.0,13788
华龙人家双证在手满五年精装修小区中间视野开阔,https://km.lianjia.com/ershoufang/106108925572.html,华龙人家 红云,4室2厅,141.08,南 北,150.0,10633
房东急售别墅---精装修—地下室—车位—露台,https://km.lianjia.com/ershoufang/106109808531.html,路馨小区 新亚洲,6室3厅,300.0,东南,360.0,12000
度假区满五唯一稀·缺房源，带前后阳台无遮挡，采光好,https://km.lianjia.com/ershoufang/106106249321.html,滇池卫城橡尚 度假区,3室2厅,124.48,南 北,167.0,13416
园林小区中海锦苑一楼带95平地下室的稀有房源诚心出售,https://km.lianjia.com/ershoufang/106106990519.html,中海锦苑 红云,4室2厅,94.88,东 西,135.0,14229
房东诚心出售 古滇名城 精装修现房 带家具家电,https://km.lianjia.com/ershoufang/106110237476.html,七彩云南古滇名城 晋宁,2室2厅,74.24,南 北,53.0,7140
一环内，江景房，出行方便，配套齐全,https://km.lianjia.com/ershoufang/106110173110.html,南站新村 吴井,2室1厅,58.5,东 西,65.0,11112
北市区 天骄北麓 刚需南向 两室 户型方正 明厨明卫,https://km.lianjia.com/ershoufang/106110204585.html,天骄北麓 红云,2室2厅,73.71,东南,81.0,10990
双地铁 俊发城百合苑 东向阳光两房 证在手满2年,https://km.lianjia.com/ershoufang/106110230016.html,俊发城百合苑 司家营,2室2厅,78.78,东,99.0,12567
两室两厅  位置好  价格便宜 提前预约租客,https://km.lianjia.com/ershoufang/106110164617.html,金沙小区 金沙,2室2厅,64.59,南 北,57.0,8825
北京路上北辰地铁口北京路9号旁精装三房,https://km.lianjia.com/ershoufang/106110227342.html,金泉小区 北辰,3室2厅,103.56,南 北,133.0,12843
五华北市区 龙泉路旁 天骄北麓 精装俩房,https://km.lianjia.com/ershoufang/106110203551.html,天骄北麓 红云,2室1厅,77.08,东,85.0,11028
昆明电缆厂生活区 2室1厅 南 北,https://km.lianjia.com/ershoufang/106110238673.html,昆明电缆厂生活区 西部客运站,2室1厅,52.17,南 北,49.0,9393
阿诗玛翡翠城旁 茶厂宿舍 南北通透  采光视野好,https://km.lianjia.com/ershoufang/106110224127.html,昆明茶厂宿舍 书林,3室2厅,53.42,南 北,100.0,18720
买房带产权车位 北市区和谐世纪 精装修三居室双卫,https://km.lianjia.com/ershoufang/106110143282.html,和谐世纪 红云,3室2厅,147.05,南 北,146.0,9929
精装大四房，三面采光，采光好，满五不唯一,https://km.lianjia.com/ershoufang/106109775913.html,滇池印象花园 大商汇,4室2厅,150.0,南,210.0,14000
红旗两室两厅低总价小户型 诚心出售,https://km.lianjia.com/ershoufang/106110059536.html,瓦仓庄48号 小西门,2室2厅,74.97,东 西,130.0,17341
和谐广场，精装修房东诚心出售。,https://km.lianjia.com/ershoufang/106110152785.html,和谐世纪 红云,1室1厅,55.0,东,53.0,9637
玖珑湾精装修三房  对小区主景观 楼层好视野宽阔,https://km.lianjia.com/ershoufang/106110096765.html,昆明恒大玖珑湾 滇池半岛,3室2厅,102.0,东南 南,145.0,14216
自贸区紫曼园  次新小区标准三房 近地铁  精装  满二,https://km.lianjia.com/ershoufang/106110138139.html,第三城紫曼园 经开区,3室2厅,83.04,东,92.0,11079
精装拎包入住，复式楼房急售！带车位,https://km.lianjia.com/ershoufang/106109769347.html,和谐世纪 红云,4室2厅,184.46,东南,194.0,10518
牛街庄地铁口  中间楼层  满五唯一  房东诚心出售,https://km.lianjia.com/ershoufang/106110209149.html,达丽温泉花园 昆船,2室2厅,60.0,东南,56.0,9334
满五唯一 东西通透 采光采阳好,https://km.lianjia.com/ershoufang/106110198575.html,锦兴苑小区 高新,2室2厅,62.27,东 西,65.0,10439
滇池卫城三楼 端头  精装修 庄家唐站口 带两个露台,https://km.lianjia.com/ershoufang/106109792015.html,滇池卫城蓝调公元 度假区,3室2厅,117.28,东南,178.0,15178
滇池度假区双河湾精装三房 业主急售,https://km.lianjia.com/ershoufang/106106019343.html,双河湾行知苑 大商汇,3室2厅,116.58,西,143.0,12267
书香门第 2室2厅 东,https://km.lianjia.com/ershoufang/106110246719.html,书香门第 红云,2室2厅,85.0,东,107.0,12589
二环边，双地铁物业，高楼层，边户，无遮挡,https://km.lianjia.com/ershoufang/106110169366.html,圣世一品 凉亭,3室2厅,85.87,南,103.0,11995
丰宁小区精装修两房出售，户型方正格局合理,https://km.lianjia.com/ershoufang/106110246831.html,丰宁小区 丰宁,2室1厅,41.11,东 西,46.6,11336
二环边大两房，看房方便装修好，房东诚售,https://km.lianjia.com/ershoufang/106110201657.html,云岭天骄 二环北,3室2厅,91.03,东,124.0,13622
房子东西朝向，楼层好，格局好，视野开阔，采光好,https://km.lianjia.com/ershoufang/106110221114.html,日新人才楼 巫家坝,3室2厅,77.63,东 南,108.1,13926
华夏四季 2室2厅 西南,https://km.lianjia.com/ershoufang/106110191959.html,华夏四季 度假区,2室2厅,62.8,西南,92.0,14650
山水白沙新出70平两房带车位90万。证在手急卖看房方便,https://km.lianjia.com/ershoufang/106110176181.html,山水白沙 东白沙河,2室1厅,70.0,南 北,88.0,12572
理想小镇精装三室位置安静 南北向装修清爽,https://km.lianjia.com/ershoufang/106110255360.html,理想小镇 大商汇,3室2厅,104.0,南 北,153.0,14712
跃层—精装修—户型采光好—房东急出售,https://km.lianjia.com/ershoufang/106110181871.html,奥宸橙郡二期 新亚洲,3室1厅,102.64,东南,90.0,8769
海伦国际柏林区 3室2厅 东,https://km.lianjia.com/ershoufang/106110249315.html,海伦国际柏林区 世纪城,3室2厅,90.0,东,108.0,12000
一环边 精装修带一个院子  拎包入住 房产证满2 年,https://km.lianjia.com/ershoufang/106110239485.html,省商业机械厂宿舍 白云,3室1厅,59.0,南,96.0,16272
星体花园北区配家具家电看房方便,https://km.lianjia.com/ershoufang/106107977350.html,新亚洲体育城星体花园北区 新亚洲,3室2厅,89.15,东 西,80.0,8974
体育城退台洋房   小区中间位置,https://km.lianjia.com/ershoufang/106109640290.html,新亚洲体育城水晶堡 新亚洲,3室2厅,114.29,南 北,145.0,12688
东寺步行街旁电梯小高层 精装三房两卫 位置好,https://km.lianjia.com/ershoufang/106107706206.html,东方广场 书林,3室2厅,120.64,北,186.0,15418
书香门第房屋急售 2房改3房 跃层对小区花园  证在手,https://km.lianjia.com/ershoufang/106110026748.html,书香门第 红云,3室1厅,102.34,西,108.0,10554
彼岸一梯两户 小区中间楼层 看房方便,https://km.lianjia.com/ershoufang/106109501604.html,彼岸二期 新亚洲,3室2厅,127.32,东南,112.0,8797
万科魅力之城 证满两年 精装大3房 中上楼层 急售,https://km.lianjia.com/ershoufang/106107647333.html,万科魅力之城 新亚洲,3室2厅,106.82,东,135.8,12713
新螺蛳湾精装两房改三房，随时看房，有钥匙，满两年,https://km.lianjia.com/ershoufang/106109372725.html,中豪逸境花园 新螺蛳湾,3室2厅,78.82,西,76.0,9643
金沙小区三室两厅一厨一卫 位置好 随时看房,https://km.lianjia.com/ershoufang/106107353732.html,金沙小区 金沙,3室2厅,89.2,南 北,80.0,8969
一梯两户南北向小高层、业主诚心出售,https://km.lianjia.com/ershoufang/106108576901.html,枫林盛景西区 新亚洲,3室2厅,121.15,南 北,125.0,10318
枫林盛景东区3室2厅2卫2阳台中装修出售,https://km.lianjia.com/ershoufang/106107733161.html,枫林盛景(东区) 新亚洲,3室2厅,127.16,南,118.0,9280
北市区 和谐世纪 精装2房 东南向 采光好 可看房,https://km.lianjia.com/ershoufang/106105805443.html,和谐世纪 红云,2室2厅,90.31,东南,95.0,10520
盛高大城三室，房东诚心出售看房方便,https://km.lianjia.com/ershoufang/106106366045.html,盛高大城 南亚,3室1厅,87.51,西南,141.0,16113
螺狮湾商区，房东急售，户型通透，,https://km.lianjia.com/ershoufang/106109679312.html,新亚洲体育城星体花园南区 新亚洲,3室2厅,85.67,南 北,80.8,9432
此房诚心出售 楼层好，采光不错，采光不错，,https://km.lianjia.com/ershoufang/106108831304.html,万科公园里 新螺蛳湾,3室1厅,103.37,西北,125.0,12093
东向对花园 舒适四房 户型方正 无浪费 房本满二,https://km.lianjia.com/ershoufang/106106191945.html,天骄北麓 红云,4室2厅,118.09,东南,110.0,9315
天骄北麓 好房出售 三室两厅 采光很好,https://km.lianjia.com/ershoufang/106107827801.html,天骄北麓 红云,3室2厅,92.84,东,96.0,10341
金色交响家园 大四房 户型方正 采光充足,https://km.lianjia.com/ershoufang/106109679932.html,金色交响家园 金沙,4室2厅,132.21,东南,133.0,10060
大商汇精装修两房带40平露台位置安静楼层好日照充足,https://km.lianjia.com/ershoufang/106107549731.html,大商汇 大商汇,2室2厅,86.37,南 北,89.6,10374
星云园三房精装修带车位满2年税少 1号线 旁,https://km.lianjia.com/ershoufang/106104898443.html,新亚洲体育城星云园 新亚洲,3室2厅,125.11,南,135.0,10791
房证已经满五年，楼层适中端户，新装修,https://km.lianjia.com/ershoufang/106107170139.html,滇池卫城锦尚 度假区,3室2厅,89.84,南,155.0,17253
百年印象精装3室，户型方正，近地铁，生活方便,https://km.lianjia.com/ershoufang/106109780283.html,中铁百年印象 昆船,3室2厅,101.9,西南,106.0,10403
双地铁口旁 锦苑花园 中空大跃层 带屋顶花园 南北通透,https://km.lianjia.com/ershoufang/106107667479.html,锦苑花园 昆明站,4室2厅,137.34,南 北,214.0,15582
我哥的房子，满两年，诚心出手，价格可谈，冲 冲 冲,https://km.lianjia.com/ershoufang/106109678329.html,万科魅力之城 新亚洲,3室2厅,89.93,西南,118.1,13133
房子位置好，学习生活工作都方便,https://km.lianjia.com/ershoufang/106108727257.html,三合苑 小西门,3室2厅,88.74,南 北,164.0,18481
星辰园南向三房两卫   业主急卖,https://km.lianjia.com/ershoufang/106109896105.html,新亚洲体育城星辰园 新亚洲,3室2厅,120.39,南,128.0,10633
五华区二环内滇缅大道旁金泰国际标准三房出售,https://km.lianjia.com/ershoufang/106107159141.html,金泰国际一期 高新,3室2厅,128.91,东南,160.0,12412
度假区顶跃电梯景观洋房，一梯2户，带观景露台。,https://km.lianjia.com/ershoufang/106106894422.html,滇池卫城橡尚 度假区,4室2厅,113.6,南 北,173.0,15229
滇池生态半岛洋房带阁楼，带车位，诚心出售,https://km.lianjia.com/ershoufang/106105822383.html,滇池俊府 滇池半岛,4室2厅,143.46,东南,318.0,22167
业主诚心售房产权证在手没有抵押满两年拎包入住,https://km.lianjia.com/ershoufang/106109973401.html,润城 南亚,3室2厅,88.6,东南,127.0,14335
预装电梯南北4房楼层好，实得130平，交通便利停车方便,https://km.lianjia.com/ershoufang/106107826328.html,中国科学院西双版纳热带植物园昆明分部住宅区 北教场,4室2厅,103.18,南 北,148.0,14344
中海锦苑 3室1厅 东北,https://km.lianjia.com/ershoufang/106109896973.html,中海锦苑 红云,3室1厅,93.92,东北,118.0,12564
房子户型方正，采光通风好，配套成熟，生活便利。。,https://km.lianjia.com/ershoufang/106109783836.html,润城十区 南亚,2室2厅,80.15,东,115.0,14349
万科经典大三房，东端头房，采光采阳视线好无遮挡。,https://km.lianjia.com/ershoufang/106106146941.html,万科魅力之城 新亚洲,3室2厅,101.73,东,120.0,11796
满五唯一，不是一楼，房东急卖低于市场价，随时可看,https://km.lianjia.com/ershoufang/106106873490.html,世纪城咏春苑 世纪城,5室2厅,250.45,东南,260.0,10382
广福城雅福园 3室2厅 南 北,https://km.lianjia.com/ershoufang/106110226194.html,广福城雅福园 大商汇,3室2厅,130.0,南 北,135.0,10385
富春街翠湖旁武成 东南向无遮挡,https://km.lianjia.com/ershoufang/106110256783.html,都市名园 小西门,3室2厅,108.09,东南,360.0,33306
业主诚心出售，蓝光优质好房，楼层好,https://km.lianjia.com/ershoufang/106110042509.html,蓝光天娇城 呈贡,3室1厅,101.0,北,62.0,6139
房屋南北通透，中间楼层，采光好， 户型方正,https://km.lianjia.com/ershoufang/106110047792.html,颐泰苑小区 昆船,3室1厅,53.58,南 北,53.0,9892
关上地铁口 小区已重新改造 楼层好 业主诚售,https://km.lianjia.com/ershoufang/106110103832.html,日新小区 巫家坝,3室2厅,82.0,西北,88.0,10732
牛津花园精装修 标准两房 站客厅看整个昆明学院,https://km.lianjia.com/ershoufang/106110061782.html,云大知城牛津花园 经开区,2室2厅,81.39,西南,90.0,11058
央企品质小区 华润中 央公园 东南端头三房,https://km.lianjia.com/ershoufang/106110159584.html,华润中央公园 昆明湖公园,3室2厅,84.6,东南,109.8,12979
不动产证在售，中上楼层，户型方正，小区环境好,https://km.lianjia.com/ershoufang/106110153731.html,佳湖新城 大商汇,3室2厅,118.54,南 北,158.5,13372
蓝光coco 3居室 中高楼层 业主诚售,https://km.lianjia.com/ershoufang/106110119381.html,蓝光COCO蜜城 大商汇,3室2厅,63.81,西北,120.0,18806
二环内次新小区复式楼中渝云都国际,https://km.lianjia.com/ershoufang/106110217425.html,中渝云都国际 丰宁,3室1厅,92.21,西南,114.0,12364
润城 2室2厅 西北,https://km.lianjia.com/ershoufang/106110113144.html,润城 南亚,2室2厅,75.0,西北,105.0,14000
万科白沙润园165平南北通透满五唯一带2个车位看房方便,https://km.lianjia.com/ershoufang/106110155683.html,万科白沙润园 东白沙河,4室1厅,165.89,南 北,219.0,13202
金昙花园：标准3室，证在手交易方便，,https://km.lianjia.com/ershoufang/106110111981.html,金昙花园 昙华寺,3室2厅,79.76,西南,78.0,9780
地铁口两室大平层急售 价格很美丽!!!  !!!,https://km.lianjia.com/ershoufang/106110104013.html,奥宸橙郡二期 新亚洲,2室2厅,88.01,东南 西南,90.0,10227
大露台端头洋房、中高楼层、地铁口1T2户、装修很新,https://km.lianjia.com/ershoufang/106110162935.html,滇池卫城尚层 度假区,4室2厅,82.5,南,156.0,18910
通透跃层，首付14.7万，房东诚心出售,https://km.lianjia.com/ershoufang/106107801032.html,理想·红树湾 大商汇,3室2厅,105.9,东 西,123.0,11615
天骄北麓 两室两厅  东向 带双阳台,https://km.lianjia.com/ershoufang/106109023730.html,天骄北麓 红云,2室1厅,66.81,东,67.6,10119
站前路400号 3室2厅 东南,https://km.lianjia.com/ershoufang/106110224599.html,站前路400号 昆明站,3室2厅,63.0,东南,83.0,13175
大商汇雅福圆143平大三房 仅售143万,https://km.lianjia.com/ershoufang/106110189021.html,广福城雅福园 大商汇,3室2厅,143.0,西北,151.0,10560
精装大3房 带2阳台 南北向 单价10447 诚售 价格可谈,https://km.lianjia.com/ershoufang/106108735437.html,江东丽景园 世博,3室2厅,134.0,南 北,129.0,9627
滇池边滇池俊府 毛坯 洋房跃层诚心出售满二采光好,https://km.lianjia.com/ershoufang/106105255146.html,滇池俊府 滇池半岛,4室2厅,126.11,南 西南,249.0,19745
新亚洲万科魅力之城220平复式跃层 客厅挑高 配套齐全,https://km.lianjia.com/ershoufang/106107518031.html,万科魅力之城 新亚洲,4室2厅,178.0,东,178.0,10000
南北朝向，采光充足，楼层好，产权清晰，房东诚售,https://km.lianjia.com/ershoufang/106107333871.html,锦苑花园 昆明站,3室2厅,113.65,东,170.0,14959
此房南北通透格局，楼层好，视野开阔，采光充足,https://km.lianjia.com/ershoufang/106105813907.html,润城五区 西山万达,4室2厅,135.33,南 北,195.0,14410
滇池路南亚旁凯旋花园80平米精装2室 满五,https://km.lianjia.com/ershoufang/106110184120.html,凯旋花园北区 南亚,2室2厅,80.48,东南 南,117.0,14538
北市区 天骄北麓 精装两居室 端头房 看房方便,https://km.lianjia.com/ershoufang/106110161273.html,天骄北麓 红云,2室2厅,66.27,东北,69.6,10503
房子旁边就是地铁3号虹桥站，交通便利，南北朝向 板房,https://km.lianjia.com/ershoufang/106110218247.html,碧桂园璟台 金沙,3室2厅,103.76,南 北,135.0,13011
东盟森林御花园新出房源三居带16平米花园 有证,https://km.lianjia.com/ershoufang/106110184391.html,东盟森林 呈贡,3室2厅,135.0,东 西,100.0,7408
滇池边滟澜湾六层电梯洋房精装修带大露台房东诚心出售,https://km.lianjia.com/ershoufang/106109111461.html,滇池卫城滟澜湾 度假区,3室2厅,148.71,南,235.0,15803
北京路旁带露台精装修三房业主诚心出售,https://km.lianjia.com/ershoufang/106109708017.html,景江花园 北辰,3室2厅,110.12,南 北,149.0,13531
U族部落经典两房采光采阳好户型方正房东急售,https://km.lianjia.com/ershoufang/106109466851.html,U族部落 高新,2室2厅,82.09,南 北,69.0,8406
此房精装修，满两年，楼层适中，阳光充足,https://km.lianjia.com/ershoufang/106106923656.html,万辉星城紫荆堡 太平新城,3室2厅,89.57,南 北,60.0,6699
昆太平新城蓝山郡，精装修带全新家具家电，三居楼层好,https://km.lianjia.com/ershoufang/106109933166.html,万辉星城蓝山郡 太平新城,3室2厅,89.81,西南 西,69.5,7739
满五唯一证在手，退台洋房，视野开阔阳光照射充足,https://km.lianjia.com/ershoufang/106106953792.html,新亚洲体育城水晶堡 新亚洲,3室2厅,108.0,东南,121.3,11232
精装跃层两室两厅 商圈成熟 生活便捷 出行方便,https://km.lianjia.com/ershoufang/106107120695.html,云大知城三期 经开区,2室2厅,92.59,南,78.0,8425
昆明太平新城，精装修带家具家电，满五唯一,https://km.lianjia.com/ershoufang/106109865108.html,时代贸港 太平新城,2室2厅,90.25,东南,38.0,4211
融创澜玥台，精装三房带家具家电，单价便宜,https://km.lianjia.com/ershoufang/106109731550.html,融创澜玥台 巫家坝,3室2厅,113.03,东 西,155.0,13714
好房急售，证在手随时过户，东南端头，视野开阔，,https://km.lianjia.com/ershoufang/106107512657.html,国茶港 泛亚,3室2厅,108.19,东南,110.0,10168
羊肠村地铁站旁和谐世纪 2房 满二年 正对花园,https://km.lianjia.com/ershoufang/106109032209.html,和谐世纪 红云,2室2厅,73.22,西,83.0,11336
地铁口 南北向  吾悦广场旁 毛坯三房 出售,https://km.lianjia.com/ershoufang/106109345980.html,绿地香树花城 泛亚,3室2厅,95.67,南 北,119.8,12523
植物园旁精装洋房带露台采光好中间位置,https://km.lianjia.com/ershoufang/106109819601.html,都市枫林 茨坝,3室2厅,148.0,东南,140.0,9460
