一层带两层下跃 使用面积120平米,https://lf.lianjia.com/ershoufang/101113938557.html,东贸国际 东贸潮白商圈,1室1厅,60.07,东,98.0,16315
大运河孔雀城英国宫四期 3室2厅 南 北,https://lf.lianjia.com/ershoufang/101114050427.html,大运河孔雀城英国宫四期 香河,3室2厅,89.02,南 北,66.0,7415
三阳开泰两居，采光好，离小区门口近,https://lf.lianjia.com/ershoufang/101114046083.html,首钢机械厂 102国道商圈,2室1厅,63.33,南,110.0,17370
萨拉曼卡下叠精装修 业主着急出售,https://lf.lianjia.com/ershoufang/101114061364.html,世茂萨拉曼卡一期 大厂,3室2厅,122.25,南 北,183.0,14970
南向双卧朝南格局，中间楼层，房本满2年，采光好.,https://lf.lianjia.com/ershoufang/101114058043.html,潮白河孔雀城紫藤园 大厂,2室2厅,78.98,南,106.0,13422
西边户 全明户型三居 集中供暖 全天采光,https://lf.lianjia.com/ershoufang/101114036996.html,世茂萨拉曼卡 大厂,3室2厅,96.92,南 北,112.0,11556
东方家园 3室1厅 南 北,https://lf.lianjia.com/ershoufang/101114044346.html,东方家园 广阳,3室1厅,74.2,南 北,62.0,8356
京津花园3期 3室2厅 南 北,https://lf.lianjia.com/ershoufang/101114044426.html,京津花园3期 香河,3室2厅,107.58,南 北,80.0,7437
五环公园优质好房，距离公园800米 成熟社区,https://lf.lianjia.com/ershoufang/101113967024.html,潮白河孔雀城紫藤园 大厂,3室2厅,88.95,南 北,132.6,14908
此房房本满二年，南北通透户型，落地窗房间采光优质。,https://lf.lianjia.com/ershoufang/101113919051.html,富力新城V01区 香河,3室2厅,99.21,南 北,89.0,8971
靠谱出售 潮白河优质别墅 豪 华装修,https://lf.lianjia.com/ershoufang/101113915383.html,潮白河孔雀城雅园 大厂,4室2厅,237.99,南 北,580.0,24371
全天采光，视野无遮挡，东边户，明厨明卫，房本満二,https://lf.lianjia.com/ershoufang/101113942516.html,东方国际 固安,3室2厅,113.17,南 北,97.0,8572
三季经典南北大两居业主诚意出售,https://lf.lianjia.com/ershoufang/101114044669.html,福城上上城三季 燕顺路东商圈,2室1厅,93.57,南 北,120.0,12825
天园品质社区，通透三居，采光好，精装自住,https://lf.lianjia.com/ershoufang/101114049089.html,天园四期 固安,3室1厅,121.57,南 北,140.0,11516
香汐 3室2厅 南 北,https://lf.lianjia.com/ershoufang/101114034907.html,香汐 香河,3室2厅,101.71,南 北,81.0,7964
全屋定制，精装修两居室，高楼层视野好，带车位。,https://lf.lianjia.com/ershoufang/101114050508.html,天洋城4代北区 天洋城4代商圈,2室1厅,90.6,南,179.0,19758
新世界家园一区 刚需两居 品质社区,https://lf.lianjia.com/ershoufang/101114019861.html,新世界家园一区 广阳,2室2厅,83.92,南,104.0,12393
温莎郡双通透三居双卫好楼层全天采光,https://lf.lianjia.com/ershoufang/101114029009.html,大运河孔雀城温莎郡 香河,3室2厅,99.19,南,91.0,9175
孔雀城五期棠墅园 4室2厅 南 北,https://lf.lianjia.com/ershoufang/101113208988.html,孔雀城五期棠墅园 固安,4室2厅,263.89,南 北,319.0,12089
潮白河孔雀城华园中联排别墅480万,https://lf.lianjia.com/ershoufang/101110032253.html,潮白河孔雀城华园 大厂,4室2厅,267.81,北 南,438.0,16355
大厂孔雀城三期联排别墅，精装拎包入住，房本满5唯1,https://lf.lianjia.com/ershoufang/101113658006.html,潮白河孔雀城华园 大厂,4室2厅,239.61,南,550.0,22954
早安北京 3室2厅 南 北,https://lf.lianjia.com/ershoufang/101114050748.html,早安北京 大厂,3室2厅,92.29,南 北,150.0,16254
此房满二年 楼栋小区位置好 前后观景 精装修 两梯两户,https://lf.lianjia.com/ershoufang/101114062173.html,孔雀城英国宫二期 固安,3室2厅,129.67,南 北,153.0,11800
黄金蓝湾南北通透三居，不临马路，一梯两户！,https://lf.lianjia.com/ershoufang/101114024354.html,黄金蓝湾 燕顺路东商圈,3室1厅,100.81,南 北,240.0,23808
早安北京两居室，楼层好，采光好，业主诚意出售,https://lf.lianjia.com/ershoufang/101114037019.html,早安北京 大厂,2室1厅,87.28,东南,103.0,11802
天洋城西南两居靠谱出售.....,https://lf.lianjia.com/ershoufang/101114045206.html,天洋城 天洋城商圈,2室2厅,85.34,西南,159.0,18632
天洋城北区 近地铁 满五唯一 税费少，看房方便,https://lf.lianjia.com/ershoufang/101114037051.html,天洋城 天洋城商圈,2室1厅,84.78,南,172.0,20288
青年新城 精修小三居 方正户型,https://lf.lianjia.com/ershoufang/101114024810.html,青年新城 汇福悦榕湾商圈,3室1厅,90.56,南 西南,158.0,17447
南与北北通透精装三居室满二拎包入住,https://lf.lianjia.com/ershoufang/101114008315.html,香城郦舍 香河,3室1厅,98.44,南,120.0,12191
中隧中燕小区 3室1厅 南 北,https://lf.lianjia.com/ershoufang/101113900072.html,中隧中燕小区 华北科技学院商圈,3室1厅,80.0,南 北,143.0,17875
旗舰大堡 南入户花园100平 地下双车位入户 房本满五年,https://lf.lianjia.com/ershoufang/101113966519.html,孔雀城六期叠翠园 固安,4室2厅,226.8,南 北,269.0,11861
上上城三季 精装大三居居客厅朝南 2个卫生间 靠谱出售,https://lf.lianjia.com/ershoufang/101113912487.html,福城上上城三季 燕顺路东商圈,3室1厅,117.65,南 北,178.0,15130
温泉入户！免双税！南北通透，主卧客厅朝阳，中间楼层,https://lf.lianjia.com/ershoufang/101113958949.html,金碧伦小区 广阳,3室2厅,96.31,南 北,110.0,11422
南向两居中间楼层.采光好.房本满二.毛坯房,https://lf.lianjia.com/ershoufang/101113967397.html,富泰家园 香河,2室1厅,94.72,南,76.0,8024
