汇仁阳光花园 精装大四房 东端户,https://nc.lianjia.com/ershoufang/103118804477.html,汇仁阳光花园 莲塘,4室2厅,124.26,南 北,140.0,11267
联泰棕榈庄园 4室1厅 南,https://nc.lianjia.com/ershoufang/103118818167.html,联泰棕榈庄园 学府大道,4室1厅,157.23,南,355.0,22579
精装修三房，看房方便。诚心出售。目前空置,https://nc.lianjia.com/ershoufang/103118734781.html,幸福时光三期 象湖,3室2厅,85.95,南 北,103.0,11984
江铃底特律毛坯三房  高楼层 视野开阔,https://nc.lianjia.com/ershoufang/103118687475.html,江铃底特律新城 银三角,3室1厅,93.84,南,64.9,6917
：精装三房，拎包入住，万科物业，品质楼盘，,https://nc.lianjia.com/ershoufang/103118707166.html,地铁万科时代广场 庐山南大道,3室2厅,125.56,南,290.0,23097
地铁口的房子，带储藏间，小区环境优美,https://nc.lianjia.com/ershoufang/103118709085.html,气象路 昌南,3室2厅,117.28,南 北,86.0,7333
满五唯一   房东诚心出售  采光充足,https://nc.lianjia.com/ershoufang/103118810481.html,城发红谷十二庭 红湾大道以南,2室2厅,79.89,南,99.8,12493
装修好 楼层好 视野好无遮挡 户型端正,https://nc.lianjia.com/ershoufang/103118760013.html,居住主题公园-枫丹白鹭 象湖,3室1厅,89.48,南,88.0,9835
有部分面积未上产证，地铁口，老城区,https://nc.lianjia.com/ershoufang/103118856002.html,后墙路 八一公园,2室2厅,76.18,南,82.8,10869
房东诚意出售 中骏蓝湾精装修三房 公园旁,https://nc.lianjia.com/ershoufang/103118793682.html,中骏蓝湾香郡 高新区,3室2厅,92.45,南 北,129.0,13954
象湖繁华地段 生活便利 交通方便 房子户型实用 采光好,https://nc.lianjia.com/ershoufang/103114664862.html,平安象湖风情 象湖,4室2厅,197.86,南,148.0,7481
房东急售，有车位另外出售 全天太阳，随时看房,https://nc.lianjia.com/ershoufang/103118821260.html,金色学府 莲塘,3室2厅,89.8,南,109.0,12139
保利香槟国际 交通便利 自住装修 诚心出售  很便宜,https://nc.lianjia.com/ershoufang/103118844022.html,保利香槟国际（艾溪湖二路66号） 艾溪湖东,3室2厅,94.45,南,145.0,15353
房东诚心出售 户型方正精装修 交通生活方便,https://nc.lianjia.com/ershoufang/103118740189.html,上海新城小区 其它,2室1厅,89.03,南 北,30.0,3370
新力愉景湾 低楼层 东边户 房东诚心出售,https://nc.lianjia.com/ershoufang/103118753295.html,新力愉景湾 象湖,3室1厅,92.69,南,97.0,10465
精装修有车位和储藏间，通透户型,https://nc.lianjia.com/ershoufang/103118788095.html,平安象湖风情 象湖,2室2厅,89.48,南,85.0,9500
小区中间花园洋房 中间楼层 全天日照 楼间距大,https://nc.lianjia.com/ershoufang/103118670669.html,名门世家 秋水广场,3室2厅,123.82,南 北,248.0,20030
小区人车分流，免费大露台，2梯2户，公摊少，得房率高,https://nc.lianjia.com/ershoufang/103118823996.html,银城江畔 象湖,3室2厅,112.0,南,158.8,14179
专梯专户 好楼层 东端户 光线视野好,https://nc.lianjia.com/ershoufang/103118838831.html,幸福时光五期 象湖,3室2厅,106.7,南 北,125.0,11716
九龙湖前排，湖景房，带车位业主诚心卖，地铁口,https://nc.lianjia.com/ershoufang/103118840402.html,绿地国际博览城一期卧珑 九龙湖,3室2厅,109.41,南,175.0,15995
金色学府 3室2厅 南,https://nc.lianjia.com/ershoufang/103118603614.html,金色学府 莲塘,3室2厅,67.32,南,82.0,12181
象湖花园洋房复式楼便宜卖，带露台,https://nc.lianjia.com/ershoufang/103118651480.html,居住主题公园-香榭丽居花园洋房 象湖,5室2厅,155.45,南,110.0,7077
业主诚售，环境优美，出入方便，全天安保,https://nc.lianjia.com/ershoufang/103118594929.html,国贸春天 朝阳新城,3室2厅,103.13,南,220.0,21333
玺园 澄碧湖旁   楼层好   视野开阔    房东诚心出售,https://nc.lianjia.com/ershoufang/103118555407.html,玺园南区 莲塘,3室2厅,88.56,南,96.0,10841
梦里顶楼复式，房东诚心出售，价格合适就卖！,https://nc.lianjia.com/ershoufang/103118659265.html,梦里水乡 莲塘,5室2厅,200.86,南 北,149.0,7419
格局方正，通透 采光太阳足，诚心出售，,https://nc.lianjia.com/ershoufang/103118585923.html,红谷·新城 红湾大道以南,3室1厅,111.44,南 北,140.0,12563
厅长楼 得房率高 小区环境好 地铁口近 全天太阳,https://nc.lianjia.com/ershoufang/103118358088.html,翠湖嘉园 李家庄,3室2厅,146.85,南,193.0,13143
人行宿舍，大4房，有小，初教育，地铁口,https://nc.lianjia.com/ershoufang/103109846322.html,人民银行安全文明小区 滕王阁,4室2厅,145.34,南 北,170.0,11697
复式楼  装修新颖   直接入住,https://nc.lianjia.com/ershoufang/103118788786.html,白沙地 银三角,8室3厅,115.0,南,118.0,10261
房东诚心出售，两房户型。光线好，视野广,https://nc.lianjia.com/ershoufang/103118757554.html,解放路553号 红湾大道以南,2室2厅,96.09,南,80.0,8326
精装修，楼层好，随时可以看房。,https://nc.lianjia.com/ershoufang/103118751991.html,上海新城小区 其它,2室1厅,89.0,南 北,29.0,3259
户型方正 采光好 配套齐全 小区绿化好,https://nc.lianjia.com/ershoufang/103118536970.html,幸福时光五期 象湖,3室2厅,112.11,南 北,110.0,9812
本小区的小户型，采光好，房东诚心卖,https://nc.lianjia.com/ershoufang/103118741175.html,城市溪地 江铃,3室2厅,62.64,南,52.0,8302
读邮政 全天太阳南北对流 户型好 小区全新整改,https://nc.lianjia.com/ershoufang/103118754383.html,城投·康馨苑 李家庄,3室2厅,109.29,南,132.0,12078
江西省公路局社区（站前西路公路局宿舍） 2室2厅 南 北,https://nc.lianjia.com/ershoufang/103118801379.html,江西省公路局社区（站前西路公路局宿舍） 十字街,2室2厅,77.18,南 北,77.9,10094
近地铁，三公园，中高层湖景，精装修拎包入住,https://nc.lianjia.com/ershoufang/103118720478.html,万科海上传奇 新城吾悦,3室2厅,109.69,东南,232.0,21151
房东诚心出售，户型通透，精装修，交通方便,https://nc.lianjia.com/ershoufang/103118736661.html,玉带明珠邮政住宅小区西区 徐家坊,3室2厅,143.15,南 北,188.0,13134
楼层好的通透两房，业主诚心出售,https://nc.lianjia.com/ershoufang/103118782572.html,春和景明 象湖,2室2厅,87.34,南,79.8,9137
满五唯一 视野开阔，带阳光大露台  采光充足,https://nc.lianjia.com/ershoufang/103118053531.html,居住主题公园-香榭丽居花园洋房 象湖,5室2厅,175.87,南 北,155.0,8814
九龙帝景湾102平毛坯好房房东急售,https://nc.lianjia.com/ershoufang/103118813402.html,九龍▪帝景湾（九龙帝景湾） 红谷滩,3室2厅,101.44,南,74.8,7374
保集半岛御河湾三期 8室4厅 南 北,https://nc.lianjia.com/ershoufang/103118854064.html,保集半岛御河湾三期 象湖,8室4厅,123.84,南 北,132.8,10724
路通城邦带储藏间出售通透大三房，交通便利,https://nc.lianjia.com/ershoufang/103118831541.html,路通城邦小区 银三角,3室2厅,105.0,南 北,70.0,6667
金地源 地铁口  户型方正 单价低 通透三房,https://nc.lianjia.com/ershoufang/103118812645.html,金地源·青年城 红谷滩,3室2厅,117.06,南,88.0,7518
幸福里全新装修四房 随时拎包入住,https://nc.lianjia.com/ershoufang/103118722423.html,锦竹幸福里 象湖,4室2厅,111.15,南,131.8,11858
一楼带院子 精装4房2卫 品质小区,https://nc.lianjia.com/ershoufang/103118722749.html,力高国际城四期 象湖,4室2厅,86.0,南,128.0,14884
平安象湖风情 3室1厅 南 北,https://nc.lianjia.com/ershoufang/103118711244.html,平安象湖风情 象湖,3室1厅,89.0,南 北,99.8,11214
力高国际城，小四房，精装修，拎包入住,https://nc.lianjia.com/ershoufang/103118710752.html,力高国际城四期 象湖,4室2厅,125.65,南 北,135.0,10745
瓦良格地铁口舒适三房 户型通风 靠雄溪河 环境优美,https://nc.lianjia.com/ershoufang/103118749638.html,江铃瓦良格 银三角,3室2厅,89.67,南,78.0,8699
房东诚心出售，看中价格可谈。。。。。。。。。。。,https://nc.lianjia.com/ershoufang/103118794774.html,通源新建城 红谷滩,3室2厅,107.7,东,90.0,8357
毛坯房 改造空间大 视野好 业主诚心出售,https://nc.lianjia.com/ershoufang/103118760516.html,绿地国际博览城二期博隆 九龙湖,3室2厅,114.16,南 北,195.0,17082
新力物业 ，楼下就是地铁口，业主诚心出售,https://nc.lianjia.com/ershoufang/103111872019.html,新力钰珑湾北区 红谷滩,3室2厅,85.6,南,73.0,8529
朝南无档全天阳光，近地铁通透三房随时可看业主诚心卖,https://nc.lianjia.com/ershoufang/103115668053.html,绿地国际博览城一期御珑 九龙湖,3室2厅,108.86,南,162.0,14882
好楼层好户型，房东诚售。房子随时可看。,https://nc.lianjia.com/ershoufang/103117341597.html,春和景明 象湖,3室2厅,84.49,南,75.0,8877
新洪大赣江城 一线沿江地带 洪城旁 配套齐全 地铁口,https://nc.lianjia.com/ershoufang/103117094208.html,洪大赣江城 象湖,3室2厅,128.94,东南,142.0,11013
医附医院旁  ，昌南体育馆，专梯专户改善大三房,https://nc.lianjia.com/ershoufang/103112461381.html,幸福时光三期 象湖,3室2厅,123.25,南,131.4,10662
象湖滨江金碧物业精装大三房满五唯一,https://nc.lianjia.com/ershoufang/103112724423.html,南昌恒大翡翠华庭 象湖,3室2厅,129.21,南 北,119.0,9210
全新金装3房，从未入住，这个冬天给她一个温暖的家！,https://nc.lianjia.com/ershoufang/103117884959.html,绿地国际博览城一期御珑 九龙湖,3室2厅,95.78,南,152.0,15870
象湖的中芯 复式精装大四居大露台 满五唯一 业主急售,https://nc.lianjia.com/ershoufang/103118511588.html,幸福时光一期 象湖,4室3厅,88.63,南 北,89.9,10144
房子户型好，楼层好，采光充足，生活交通方便,https://nc.lianjia.com/ershoufang/103115664108.html,梨园小区 其它,2室2厅,85.32,南 北,35.0,4103
婚房装修!一个80多平米露台！房价急售,https://nc.lianjia.com/ershoufang/103115766943.html,幸福时光一期 象湖,3室2厅,86.09,南,108.8,12638
九龙湖地铁口精装3房，好楼层，采光视野无挡,https://nc.lianjia.com/ershoufang/103118321245.html,新力龙湾一期 红谷滩,3室2厅,102.97,南,125.0,12140
