东津世纪城毛坯大三房，中高楼层采光充足，视野好,https://xy.lianjia.com/ershoufang/104107925554.html,东津世纪城8区新外滩 东津区,3室2厅,117.0,南,85.0,7265
时代天街 襄阳新城户型方正 采光好 公摊少,https://xy.lianjia.com/ershoufang/104107880194.html,襄阳新城B区 襄州区,2室1厅,60.43,南,38.0,6289
此房满五唯一，楼层低，结构合理，采光好,https://xy.lianjia.com/ershoufang/104103476906.html,玉丰花园 樊城东区,3室2厅,145.54,东 西 西南,105.0,7215
骧龙A区小3房 楼层好 视野开阔,https://xy.lianjia.com/ershoufang/104107060685.html,海容骧龙国际 襄城区,3室2厅,117.0,南,101.5,8676
纯毛坯三室可随意装修，中高楼层，视野开阔，采光良好,https://xy.lianjia.com/ershoufang/104107931374.html,东津世纪城14区崇文府 东津区,3室2厅,117.0,东南,81.0,6924
董台烟厂    黄精二楼    低价出售,https://xy.lianjia.com/ershoufang/104107846518.html,董台小区烟厂家属院 樊城东区,2室1厅,77.77,东,48.0,6173
长虹路沃尔玛泛悦商圈低楼层一楼带暖气,https://xy.lianjia.com/ershoufang/104106742247.html,长虹路供电公司家属院 樊城西区,3室1厅,73.15,南 北,75.0,10253
本楼正对操场，视野很好，可观襄阳市区全景，满五年,https://xy.lianjia.com/ershoufang/104106930172.html,民发天地 樊城东区,3室2厅,119.04,南,122.8,10316
家乐福商圈春园路十一局家属院精装修两室,https://xy.lianjia.com/ershoufang/104105930309.html,铁十一局六公司家属院 樊城东区,2室1厅,65.28,东南,62.0,9498
万达吾悦商圈 江山北路电信小区 户型方正 停车方便,https://xy.lianjia.com/ershoufang/104107828630.html,电信小区(江山北路) 樊城东区,2室2厅,83.4,东南,63.0,7554
"户型方正，两卧朝南，南北朝向,全明格局采光好房龄新",https://xy.lianjia.com/ershoufang/104106916396.html,六顺祥和小区 樊城东区,3室2厅,97.14,南,83.0,8545
机关单位家属院 环境好 停车方便,https://xy.lianjia.com/ershoufang/104106347138.html,樊城区委家属院 樊城西区,2室2厅,77.74,东南 南,66.0,8490
白马广场武商旁 地矿天地 单位家属院 精装修两房,https://xy.lianjia.com/ershoufang/104107739248.html,地矿天地 樊城西区,2室1厅,59.9,南,59.0,9850
精装修带家具家电 两室房主诚心卖，随时可看,https://xy.lianjia.com/ershoufang/104107731280.html,清河庄园 樊城东区,2室2厅,89.42,南,72.0,8052
一楼带院子 万山轴承厂一室一厅 交通生活方便,https://xy.lianjia.com/ershoufang/104107929993.html,襄阳轴承厂七街坊 襄城区,1室1厅,44.23,南,29.2,6602
白马广场旁 工建小区 精装两房，中高楼层，视野好,https://xy.lianjia.com/ershoufang/104107521823.html,工建小区 樊城西区,2室2厅,87.19,南,86.0,9864
长虹路沿线 樊魏路 42宗 吾悦商圈  小三房,https://xy.lianjia.com/ershoufang/104107528020.html,恒大御府 樊城东区,3室1厅,99.39,南 北,108.0,10867
三室两厅，采光充足，看房方便····,https://xy.lianjia.com/ershoufang/104105892557.html,冠通梧桐湾 襄城区,3室2厅,111.0,南,126.0,11352
中原花园小区 二室 装修好 拎包入住,https://xy.lianjia.com/ershoufang/104107043604.html,中原花园小区 樊城东区,2室2厅,87.0,南,77.9,8955
万达家乐福商圈配套齐全家具家电都有拎包入住,https://xy.lianjia.com/ershoufang/104107236379.html,中原花园小区 樊城东区,3室2厅,116.02,南,89.0,7672
人民广场武商商圈，沿江大道，小区停车方便,https://xy.lianjia.com/ershoufang/104107912426.html,樊城区政府家属院炮铺街6号 樊城东区,2室2厅,80.0,南 北,56.0,7000
人民广场商圈均价五千多的大三室房源,https://xy.lianjia.com/ershoufang/104107909301.html,县副食家属院 樊城东区,3室2厅,133.39,东 西,69.0,5173
悦活荟商圈  热水暖气房 红色标杆小区,https://xy.lianjia.com/ershoufang/104107882744.html,龙轩苑 襄州区,3室2厅,144.83,南 北,78.0,5386
尚城名门 人民路.... 次新房 精装电梯二室未住过,https://xy.lianjia.com/ershoufang/104107928835.html,尚城名门 樊城东区,2室2厅,98.71,东南,122.8,12441
印染厂一家属院 2室1厅 南,https://xy.lianjia.com/ershoufang/104107937448.html,印染厂一家属院 樊城西区,2室1厅,60.78,南,46.0,7569
市委党校家属院，小区环境好，车位充足，人文素质好,https://xy.lianjia.com/ershoufang/104107914544.html,中共襄阳市委党校 襄城区,3室2厅,97.24,南,120.0,12341
11区  毛坯117平标准3房  中间楼层 业主诚心出售,https://xy.lianjia.com/ershoufang/104106250092.html,东津世纪城11区观澜郡 东津区,3室2厅,116.66,南,89.5,7672
大庆西路  电梯房  大三房  精装修,https://xy.lianjia.com/ershoufang/104105361484.html,盛世唐朝 樊城东区,3室2厅,143.55,南 西,122.0,8499
大庆路 人民广场商圈 艺苑新村 舒适三房  中间好楼层,https://xy.lianjia.com/ershoufang/104106638225.html,艺苑新村 樊城东区,3室2厅,120.11,南,93.0,7743
华洋堂商圈 长征路 玻璃厂家属院 停车方便 钥匙房,https://xy.lianjia.com/ershoufang/104107858510.html,玻璃厂家属院 樊城东区,2室1厅,66.4,南,50.0,7531
电梯大三室两厅两卫毛坯随意装修,https://xy.lianjia.com/ershoufang/104107593044.html,和信名城 襄州区,3室1厅,130.72,南,81.5,6235
人民广场精装修步梯大三房诚意出售!,https://xy.lianjia.com/ershoufang/104107549617.html,迎旭门嘉园 樊城东区,3室2厅,127.86,南 北,89.0,6961
天元精装三房 好楼层 采光好 双阳台 天元商圈,https://xy.lianjia.com/ershoufang/104107571467.html,焦家台供销社 樊城东区,3室1厅,103.19,南 北,82.0,7947
产证满二，精装修，可以拎包入住,https://xy.lianjia.com/ershoufang/104107917063.html,襄轴家园 樊城西区,2室2厅,95.46,南,85.0,8905
大庆东路 春天大道旁边  精装小3房 钻石2楼 拎包住,https://xy.lianjia.com/ershoufang/104107923208.html,大修厂小区 樊城东区,3室1厅,77.48,南,70.0,9035
民发世界城大三室中间楼层冲冲冲冲冲,https://xy.lianjia.com/ershoufang/104107918286.html,汇景园 襄州区,3室2厅,134.0,东,105.0,7836
六层高电梯房毛培大两室和信北郡奥特莱斯旁,https://xy.lianjia.com/ershoufang/104107952197.html,和信北郡 高新区,2室2厅,89.0,南,46.0,5169
九街 离江边近 三房 楼层好 诚心出售,https://xy.lianjia.com/ershoufang/104107767445.html,三中家属院 樊城东区,3室2厅,108.0,东北,80.0,7408
人民广场精装2室 大庆路37片满五唯一税费少,https://xy.lianjia.com/ershoufang/104107630928.html,长征路襄江商场家属院 樊城东区,2室1厅,54.87,南,41.0,7473
房子精装修，业主诚意出售，中间楼层,https://xy.lianjia.com/ershoufang/104106886484.html,绿地中央广场香缇公馆 樊城西区,3室2厅,122.66,南,125.0,10191
毛坯三房，中间楼层 视野开口 采光充足 房本满二,https://xy.lianjia.com/ershoufang/104107594842.html,东津世纪城8区新外滩 东津区,3室2厅,102.03,南,71.5,7008
精装修+中医院+人民广场+家属院+华洋堂+菜场,https://xy.lianjia.com/ershoufang/104107367923.html,邮政局家属院 樊城东区,3室1厅,71.64,南,58.5,8166
视野开阔，纯毛坯随意装修，交通便利,https://xy.lianjia.com/ershoufang/104106811728.html,东津世纪城7区两江汇 东津区,3室2厅,116.15,南 北,86.0,7405
人民广场华洋堂 长征路37中學 三面采光 户型方正,https://xy.lianjia.com/ershoufang/104107182869.html,实英小区 樊城东区,2室1厅,70.15,东南,61.5,8767
恒大名都二期120平三室两卫南阳台采光通风好,https://xy.lianjia.com/ershoufang/104107094150.html,恒大名都二期 襄城区,3室2厅,119.78,南,132.0,11021
满二唯一，精装修，拎包入住，家具家电全部S,https://xy.lianjia.com/ershoufang/104106585145.html,乔营小区 樊城西区,3室2厅,95.0,南 北,85.0,8948
东津精装修拎包入住，满二税少，业主诚售,https://xy.lianjia.com/ershoufang/104107521385.html,东津世纪城11区观澜郡 东津区,3室2厅,122.31,南,93.0,7604
东津世纪城业主自住，精装三室，满二税少急出售！,https://xy.lianjia.com/ershoufang/104107170965.html,东津世纪城14区崇文府 东津区,3室2厅,122.64,南,96.5,7869
香庭公馆 中高层  满二 大三房 户型好,https://xy.lianjia.com/ershoufang/104107518720.html,绿地中央广场香庭公馆 樊城西区,3室2厅,130.54,南,123.5,9461
东津世纪城精装122平浩然河双阳台 房本满二拎包入住,https://xy.lianjia.com/ershoufang/104107776430.html,东津世纪城15区上和院 东津区,3室2厅,122.61,南 北,106.0,8646
此房满五唯一 采光好，没有物业费，院子大，停车方便,https://xy.lianjia.com/ershoufang/104107705186.html,襄州区供销社大庆西路家属院 樊城东区,3室1厅,130.86,南 北,82.0,6267
精装三室  业主急售  看房有钥匙,https://xy.lianjia.com/ershoufang/104107733082.html,东津世纪城13区瀚林院 东津区,3室1厅,122.35,南,95.0,7765
绿地广场毛坯大三房，好楼层，好楼栋，房东急售,https://xy.lianjia.com/ershoufang/104107731437.html,绿地中央广场香缇公馆 樊城西区,3室2厅,122.35,南,117.0,9563
