文化广场 毛坯三房 户型端正 采光*好,https://zk.lianjia.com/ershoufang/104104564816.html,文化广场 川汇区政府商圈,3室1厅,102.79,南,36.5,3551
契税满二 ，大两室，带入户花园，。精装修,https://zk.lianjia.com/ershoufang/104106498376.html,万达熙龙湾 泰和城商圈,2室1厅,83.0,南,51.0,6145
佳利金色东方佳苑 20号楼为安置房，目前还未交房,https://zk.lianjia.com/ershoufang/104104543980.html,佳利金色东方佳苑 文昌大道佳丽商圈,3室2厅,107.0,南,68.0,6356
建业森林半岛 精装拎包入住  户型好采光好 随时看房,https://zk.lianjia.com/ershoufang/104106630298.html,建业森林半岛 周师商圈,3室2厅,116.0,东南 南 西南,63.0,5432
碧桂园洋房、急卖即买即装修无需等待、楼层好采光好,https://zk.lianjia.com/ershoufang/104107193863.html,周口碧桂园 东新区商圈,3室2厅,120.7,南,99.6,8252
房屋税满可以按揭，诚心出售大产权。,https://zk.lianjia.com/ershoufang/104107465648.html,周口东景国际名苑 文昌大道佳丽商圈,3室2厅,107.9,南,55.0,5098
景园盛世华都边户四房，两卧朝南,https://zk.lianjia.com/ershoufang/104107225373.html,景园盛世华都 周师商圈,4室2厅,146.0,南,89.0,6096
精装    拎包入住 有证可按揭,https://zk.lianjia.com/ershoufang/104105224396.html,佳利金色东方信苑 文昌大道佳丽商圈,2室1厅,85.0,南,56.0,6589
急售 碧桂园小三房 精装拎包入住,https://zk.lianjia.com/ershoufang/104106750791.html,周口碧桂园 东新区商圈,3室2厅,92.0,南,65.0,7066
森林半岛精装3室，带空中花园，位置好，可按揭。。,https://zk.lianjia.com/ershoufang/104104361403.html,建业森林半岛 周师商圈,3室2厅,129.0,南,84.0,6512
视野宽阔，采光充足交通生活便利生活配套齐全,https://zk.lianjia.com/ershoufang/104105852668.html,恒大名都 东新区商圈,3室2厅,126.78,南 西南,81.0,6390
天明城二期精装三房出售楼层好采光充足,https://zk.lianjia.com/ershoufang/104105707298.html,天明城名门世家 东新区商圈,3室2厅,129.18,南 北,78.0,6039
佳利名门 3室2厅 南,https://zk.lianjia.com/ershoufang/104107728251.html,佳利名门 文昌大道佳丽商圈,3室2厅,115.0,南,72.0,6261
碧桂园东区大面积现房168平楼层佳,https://zk.lianjia.com/ershoufang/104106179436.html,周口碧桂园 东新区商圈,4室2厅,168.0,南,98.0,5834
碧桂园东区170平高层四室大平层,https://zk.lianjia.com/ershoufang/104105684591.html,周口碧桂园 东新区商圈,4室2厅,170.0,南,94.0,5530
外地发展 急售 碧桂园毛坯三房，舒适好楼层,https://zk.lianjia.com/ershoufang/104106129491.html,周口碧桂园 东新区商圈,3室2厅,120.0,南 西,61.0,5084
碧桂园东区新交房独栋高层120平大三室,https://zk.lianjia.com/ershoufang/104105676000.html,周口碧桂园 东新区商圈,3室2厅,120.0,南,65.0,5417
急售恒大名都精装3室，楼间距大，户型通透，采光好,https://zk.lianjia.com/ershoufang/104107480260.html,恒大名都 东新区商圈,4室2厅,158.0,南,113.0,7152
碧桂园现房高层120平方户型方正,https://zk.lianjia.com/ershoufang/104105590938.html,周口碧桂园 东新区商圈,3室2厅,120.21,南,64.0,5325
周口碧桂园经典户型，大三房采光好。中间楼层,https://zk.lianjia.com/ershoufang/104107371158.html,周口碧桂园 东新区商圈,3室2厅,132.0,南,80.0,6061
建业森林半岛~后海单独5栋有地下车位绿化空间大。,https://zk.lianjia.com/ershoufang/104107078445.html,建业森林半岛 周师商圈,3室2厅,135.0,南,115.0,8519
建业森林半岛 中间楼层 采光充足,https://zk.lianjia.com/ershoufang/104105662373.html,建业森林半岛 周师商圈,3室2厅,120.0,南,75.0,6250
周师旁，精装三室，税满可按揭，看房方便,https://zk.lianjia.com/ershoufang/104107760402.html,玖号院 周师商圈,3室2厅,91.15,南,65.0,7132
精装修三房，格局好，户型方正.,https://zk.lianjia.com/ershoufang/104105691128.html,建业森林半岛 周师商圈,3室2厅,143.0,南,125.0,8742
建业森林半岛临河观景三房 精装满五 可按揭,https://zk.lianjia.com/ershoufang/104105228908.html,建业森林半岛 周师商圈,3室2厅,115.0,东,76.0,6609
楼层好视野宽阔，采光充足交通便利生活： 中楼层.,https://zk.lianjia.com/ershoufang/104105671931.html,天明城名门世家 东新区商圈,3室2厅,98.0,南,66.0,6735
景园盛世华都精装两房，楼层好户型好，业主诚心出售！,https://zk.lianjia.com/ershoufang/104104990169.html,景园盛世华都 周师商圈,2室2厅,109.0,南,76.0,6973
急售...华耀城旁恒大名都精装四房随时看房,https://zk.lianjia.com/ershoufang/104105858590.html,恒大名都 东新区商圈,4室2厅,154.0,东南,110.0,7143
恒大交付标准都是精装，户型通透，高楼层，采光好,https://zk.lianjia.com/ershoufang/104105658099.html,恒大名都 东新区商圈,3室2厅,130.33,南,90.0,6906
恒大名都，精装修现房，拎包入住。。。。,https://zk.lianjia.com/ershoufang/104105714436.html,恒大名都 东新区商圈,3室2厅,108.0,南 北,74.0,6852
恒大名都8号楼，湖景房精装修.带家具家电，带车位。,https://zk.lianjia.com/ershoufang/104105839606.html,恒大名都 东新区商圈,4室2厅,158.31,南,144.0,9097
业主急售，精装四房，税满两年可按揭！！！,https://zk.lianjia.com/ershoufang/104106451333.html,蓝岳玫瑰园 中原国际商贸城商圈,4室2厅,124.0,南,88.0,7097
大三房，采光好，户型通透，视野宽阔,https://zk.lianjia.com/ershoufang/104105242844.html,广電欣苑 周师商圈,3室2厅,125.0,南,78.0,6240
一楼带院！万达熙龙湾，精装修大三房拎包入住。可按揭,https://zk.lianjia.com/ershoufang/104105598468.html,万达熙龙湾 泰和城商圈,3室2厅,129.09,南 北,128.0,9916
建业森林半岛，大三房，契税满两年。,https://zk.lianjia.com/ershoufang/104105829693.html,建业森林半岛 周师商圈,3室2厅,128.0,南,85.0,6641
三室两厅一厨两卫.................................,https://zk.lianjia.com/ershoufang/104106964999.html,建业森林半岛 周师商圈,3室2厅,137.0,南,120.0,8760
此房业主诚心出售 精装修 楼层好 采光充足 配套齐全,https://zk.lianjia.com/ershoufang/104107458031.html,景园盛世华都 周师商圈,3室2厅,121.0,东,84.0,6943
森林半岛精装3房，拎包入住，可随时看房。,https://zk.lianjia.com/ershoufang/104105831253.html,建业森林半岛 周师商圈,3室2厅,128.0,东南,125.0,9766
建业森林半岛 精装家具家电齐全大三房 建业品质！,https://zk.lianjia.com/ershoufang/104106718149.html,建业森林半岛 周师商圈,3室2厅,127.0,南,120.0,9449
